case_id,fitness,case:concept:name,Nível de Urgência,variant_index,lead_time_case,total_processing_time
5446538,1.0,5446538,Não informado,13.0,545.0,545.0
5446540,1.0,5446540,Idoso,29.0,543.0,543.0
5446761,1.0,5446761,Baixo,1.0,71.0,71.0
5446799,1.0,5446799,Baixo,2.0,136.0,136.0
5446806,1.0,5446806,Baixo,1.0,75.0,75.0
5446812,1.0,5446812,Baixo,1.0,73.0,73.0
5446814,1.0,5446814,Baixo,1.0,73.0,73.0
5446815,1.0,5446815,Baixo,1.0,373.0,373.0
5446825,1.0,5446825,Baixo,1.0,65.0,65.0
5446854,1.0,5446854,Baixo,1.0,352.0,352.0
5446869,1.0,5446869,Baixo,2.0,355.0,355.0
5446886,0.75,,,,,
5446890,1.0,5446890,Baixo,1.0,58.0,58.0
5446894,1.0,5446894,Idoso,1.0,334.0,334.0
5446919,1.0,5446919,Baixo,1.0,63.0,63.0
5446927,1.0,5446927,Baixo,1.0,311.0,311.0
5446930,1.0,5446930,Média,30.0,139.0,139.0
5446937,1.0,5446937,Baixo,1.0,135.0,135.0
5446947,1.0,5446947,Baixo,1.0,129.0,129.0
5446963,1.0,5446963,Baixo,1.0,117.0,117.0
5446968,1.0,5446968,Média,47.0,267.0,267.0
5446986,1.0,5446986,Baixo,2.0,279.0,279.0
5446991,0.7142857142857143,,,,,
5446994,1.0,5446994,Baixo,1.0,276.0,276.0
5447001,1.0,5447001,Baixo,1.0,98.0,98.0
5447004,1.0,5447004,Baixo,1.0,271.0,271.0
5447008,0.75,,,,,
5447055,1.0,5447055,Baixo,2.0,221.0,221.0
5447059,1.0,5447059,Baixo,1.0,76.0,76.0
5447063,1.0,5447063,Baixo,1.0,236.0,236.0
5447086,1.0,5447086,Baixo,22.0,219.0,219.0
5447092,1.0,5447092,Baixo,1.0,71.0,71.0
5447099,1.0,5447099,Baixo,1.0,71.0,71.0
5447105,1.0,5447105,Baixo,1.0,86.0,86.0
5447117,1.0,5447117,Baixo,1.0,100.0,100.0
5447120,1.0,5447120,Baixo,1.0,78.0,78.0
5447130,1.0,5447130,Baixo,1.0,76.0,76.0
5447138,1.0,5447138,Baixo,2.0,173.0,173.0
5447148,1.0,5447148,Baixo,2.0,165.0,165.0
5447189,1.0,5447189,Baixo,1.0,149.0,149.0
5447227,1.0,5447227,Baixo,1.0,125.0,125.0
5447238,1.0,5447238,Não informado,1.0,40.0,40.0
5447252,1.0,5447252,Baixo,1.0,47.0,47.0
5447255,1.0,5447255,Baixo,1.0,128.0,128.0
5447263,1.0,5447263,Baixo,1.0,134.0,134.0
5447266,1.0,5447266,Idoso,1.0,96.0,96.0
5447302,1.0,5447302,Baixo,2.0,61.0,61.0
5447305,1.0,5447305,Baixo,2.0,57.0,57.0
5447334,1.0,5447334,Não informado,1.0,49.0,49.0
5447359,1.0,5447359,Baixo,1.0,280.0,280.0
5447371,1.0,5447371,Baixo,1.0,29.0,29.0
5447414,1.0,5447414,Baixo,1.0,25.0,25.0
5447439,1.0,5447439,Baixo,1.0,28.0,28.0
5448083,1.0,5448083,Média,19.0,130.0,130.0
5448179,1.0,5448179,Não informado,4.0,342.0,342.0
5448189,1.0,5448189,Não informado,14.0,254.0,254.0
5448206,1.0,5448206,Não informado,1.0,110.0,110.0
5448230,1.0,5448230,Não informado,1.0,319.0,319.0
5448252,1.0,5448252,Não informado,1.0,303.0,303.0
5448258,1.0,5448258,Baixo,21.0,251.0,251.0
5448286,1.0,5448286,Não informado,1.0,286.0,286.0
5448293,1.0,5448293,Não informado,1.0,115.0,115.0
5448304,1.0,5448304,Não informado,1.0,115.0,115.0
5448312,1.0,5448312,Não informado,1.0,105.0,105.0
5448313,1.0,5448313,Não informado,1.0,270.0,270.0
5448329,0.7142857142857143,,,,,
5448332,1.0,5448332,Baixo,13.0,66.0,66.0
5448351,1.0,5448351,Média,1.0,251.0,251.0
5448376,0.75,,,,,
5448377,1.0,5448377,Baixo,1.0,241.0,241.0
5448383,1.0,5448383,Baixo,31.0,190.0,190.0
5448401,1.0,5448401,Baixo,1.0,44.0,44.0
5448422,1.0,5448422,Idoso,1.0,214.0,214.0
5448435,1.0,5448435,Baixo,1.0,25.0,25.0
5448441,1.0,5448441,Baixo,1.0,205.0,205.0
5448448,1.0,5448448,Baixo,1.0,208.0,208.0
5448450,1.0,5448450,Baixo,1.0,62.0,62.0
5448455,1.0,5448455,Baixo,5.0,154.0,154.0
5448456,1.0,5448456,Baixo,1.0,35.0,35.0
5448499,1.0,5448499,Baixo,1.0,183.0,183.0
5448524,1.0,5448524,Baixo,23.0,181.0,181.0
5448555,1.0,5448555,Dor Torácica,46.0,234.0,234.0
5448603,1.0,5448603,Baixo,25.0,215.0,215.0
5448606,1.0,5448606,Baixo,3.0,120.0,120.0
5448631,1.0,5448631,Gestante,1.0,31.0,31.0
5448647,1.0,5448647,Baixo,1.0,32.0,32.0
5448656,1.0,5448656,Idoso,6.0,101.0,101.0
5448665,1.0,5448665,Baixo,1.0,99.0,99.0
5448670,1.0,5448670,Portador de deficiência,1.0,96.0,96.0
5448679,1.0,5448679,Baixo,1.0,91.0,91.0
5448720,1.0,5448720,Baixo,1.0,57.0,57.0
5448736,1.0,5448736,Baixo,3.0,56.0,56.0
5448754,1.0,5448754,Idoso,1.0,39.0,39.0
5448776,1.0,5448776,Baixo,1.0,26.0,26.0
5448778,1.0,5448778,Baixo,1.0,24.0,24.0
5448784,1.0,5448784,Baixo,1.0,22.0,22.0
5448789,1.0,5448789,Baixo,1.0,26.0,26.0
5448806,1.0,5448806,Baixo,1.0,30.0,30.0
5448844,1.0,5448844,Baixo,1.0,18.0,18.0
5448855,1.0,5448855,Média,1.0,16.0,16.0
5448856,1.0,5448856,Baixo,1.0,18.0,18.0
5448865,1.0,5448865,Baixo,24.0,170.0,170.0
5448921,1.0,5448921,Baixo,2.0,95.0,95.0
5448940,1.0,5448940,Baixo,2.0,95.0,95.0
5448950,1.0,5448950,Baixo,1.0,148.0,148.0
5448951,1.0,5448951,Baixo,2.0,395.0,395.0
5448959,1.0,5448959,Baixo,1.0,386.0,386.0
5449024,1.0,5449024,Baixo,27.0,1051.0,1051.0
5449409,0.984949494949495,,,,,
5449455,1.0,5449455,Não informado,1.0,47.0,47.0
5449517,1.0,5449517,Baixo,1.0,48.0,48.0
5449563,1.0,5449563,Não informado,1.0,28.0,28.0
5449571,1.0,5449571,Idoso,28.0,123.0,123.0
5449579,1.0,5449579,Coletar PCR,3.0,23.0,23.0
5449603,1.0,5449603,Não informado,1.0,94.0,94.0
5449608,1.0,5449608,Coletar PCR,3.0,93.0,93.0
5449613,1.0,5449613,Não informado,1.0,83.0,83.0
5449730,1.0,5449730,Baixo,10.0,113.0,113.0
5449746,1.0,5449746,Sem prioridade - Azul,1.0,25.0,25.0
5449761,1.0,5449761,Baixo,1.0,66.0,66.0
5449817,1.0,5449817,Baixo,8.0,133.0,133.0
5449830,1.0,5449830,Baixo,1.0,76.0,76.0
5449835,1.0,5449835,Baixo,1.0,33.0,33.0
5449846,1.0,5449846,Baixo,45.0,117.0,117.0
5449852,1.0,5449852,Baixo,1.0,64.0,64.0
5449875,1.0,5449875,Baixo,1.0,64.0,64.0
5449891,0.9077186963979417,,,,,
5449898,1.0,5449898,Baixo,2.0,265.0,265.0
5449900,1.0,5449900,Baixo,5.0,263.0,263.0
5449904,1.0,5449904,Baixo,1.0,35.0,35.0
5449960,1.0,5449960,Baixo,1.0,12.0,12.0
5449966,1.0,5449966,Baixo,2.0,59.0,59.0
5449977,1.0,5449977,Baixo,1.0,220.0,220.0
5450019,1.0,5450019,Baixo,2.0,93.0,93.0
5450022,1.0,5450022,Baixo,1.0,82.0,82.0
5450033,1.0,5450033,Baixo,1.0,76.0,76.0
5450036,1.0,5450036,Baixo,2.0,188.0,188.0
5450044,0.75,,,,,
5450059,1.0,5450059,Idoso,32.0,169.0,169.0
5450060,1.0,5450060,Baixo,1.0,51.0,51.0
5450073,1.0,5450073,Baixo,1.0,40.0,40.0
5450077,1.0,5450077,Baixo,3.0,86.0,86.0
5450092,1.0,5450092,Baixo,1.0,30.0,30.0
5450105,1.0,5450105,Baixo,1.0,31.0,31.0
5450112,1.0,5450112,Baixo,34.0,81.0,81.0
5450114,0.9579365079365079,5450114,Baixo,35.0,622.0,622.0
5450126,1.0,5450126,Baixo,38.0,183.0,183.0
5450138,0.75,,,,,
5450140,1.0,5450140,Baixo,1.0,46.0,46.0
5450142,1.0,5450142,Baixo,1.0,164.0,164.0
5450149,1.0,5450149,Baixo,1.0,39.0,39.0
5450169,1.0,5450169,Baixo,1.0,45.0,45.0
5450176,1.0,5450176,Baixo,39.0,151.0,151.0
5450220,1.0,5450220,Baixo,1.0,20.0,20.0
5450239,0.9457932692307692,,,,,
5450247,1.0,5450247,Baixo,3.0,25.0,25.0
5450251,1.0,5450251,Não informado,2.0,41.0,41.0
5450307,1.0,5450307,Baixo,1.0,127.0,127.0
5450346,1.0,5450346,Baixo,1.0,171.0,171.0
5450391,0.9656448202959831,5450391,Dor Torácica,37.0,576.0,576.0
5450396,0.9601706970128023,5450396,Média,41.0,234.0,234.0
5450744,0.9709653092006033,5450744,Idoso,40.0,129.0,129.0
5451071,0.9685039370078741,,,,,
5451120,1.0,5451120,Baixo,1.0,69.0,69.0
5451136,1.0,5451136,Idoso,4.0,245.0,245.0
5451142,1.0,5451142,Baixo,2.0,138.0,138.0
5451177,1.0,5451177,Baixo,1.0,161.0,161.0
5451191,1.0,5451191,Baixo,1.0,151.0,151.0
5451215,1.0,5451215,Baixo,5.0,183.0,183.0
5451237,1.0,5451237,Baixo,2.0,171.0,171.0
5451247,1.0,5451247,Baixo,42.0,163.0,163.0
5451271,1.0,5451271,Baixo,1.0,19.0,19.0
5451292,1.0,5451292,Baixo,11.0,28.0,28.0
5451317,1.0,5451317,Idoso,1.0,128.0,128.0
